State,District,Village,Date,Diarrhea,Fever,Vomiting,Water_Status,Flood_Flag,Population
Meghalaya,East Khasi Hills,Mawlynnong,2025-12-21,1,6,1,Safe,0,500
Meghalaya,East Khasi Hills,Mawlynnong,2025-12-22,2,2,3,Unknown,0,500
Meghalaya,East Khasi Hills,Mawlynnong,2025-12-23,3,3,1,Safe,0,500
Meghalaya,East Khasi Hills,Mawlynnong,2025-12-24,3,2,1,Safe,0,500
Meghalaya,East Khasi Hills,Mawlynnong,2025-12-25,1,5,1,Unknown,0,500
Meghalaya,East Khasi Hills,Mawlynnong,2025-12-26,5,7,5,Safe,0,500
Meghalaya,East Khasi Hills,Mawlynnong,2025-12-27,2,4,3,Contaminated,0,500
Meghalaya,East Khasi Hills,Mawlynnong,2025-12-28,1,2,2,Safe,0,500
Meghalaya,East Khasi Hills,Mawlynnong,2025-12-29,1,4,1,Safe,0,500
Meghalaya,East Khasi Hills,Mawlynnong,2025-12-30,5,5,1,Safe,0,500
Meghalaya,East Khasi Hills,Mawlynnong,2025-12-31,2,7,3,Contaminated,0,500
Meghalaya,East Khasi Hills,Mawlynnong,2026-01-01,6,6,5,Safe,0,500
Meghalaya,East Khasi Hills,Mawlynnong,2026-01-02,1,5,2,Safe,0,500
Meghalaya,East Khasi Hills,Mawlynnong,2026-01-03,4,7,0,Safe,0,500
Meghalaya,East Khasi Hills,Mawlynnong,2026-01-04,4,5,4,Contaminated,0,500
Meghalaya,East Khasi Hills,Mawlynnong,2026-01-05,1,6,2,Contaminated,0,500
Meghalaya,East Khasi Hills,Mawlynnong,2026-01-06,4,4,3,Contaminated,0,500
Meghalaya,East Khasi Hills,Mawlynnong,2026-01-07,4,6,0,Safe,0,500
Meghalaya,East Khasi Hills,Mawlynnong,2026-01-08,4,5,4,Safe,0,500
Meghalaya,East Khasi Hills,Mawlynnong,2026-01-09,3,5,2,Contaminated,0,500
Meghalaya,East Khasi Hills,Mawlynnong,2026-01-10,4,2,2,Unknown,0,500
Meghalaya,East Khasi Hills,Mawlynnong,2026-01-11,2,4,2,Safe,0,500
Meghalaya,East Khasi Hills,Mawlynnong,2026-01-12,2,4,0,Unknown,0,500
Meghalaya,East Khasi Hills,Mawlynnong,2026-01-13,1,6,1,Unknown,0,500
Meghalaya,East Khasi Hills,Mawlynnong,2026-01-14,2,6,6,Safe,0,500
Meghalaya,East Khasi Hills,Mawlynnong,2026-01-15,5,3,2,Safe,0,500
Meghalaya,East Khasi Hills,Mawlynnong,2026-01-16,3,3,2,Contaminated,0,500
Meghalaya,East Khasi Hills,Mawlynnong,2026-01-17,3,6,5,Contaminated,0,500
Meghalaya,East Khasi Hills,Mawlynnong,2026-01-18,0,3,1,Unknown,0,500
Meghalaya,East Khasi Hills,Mawlynnong,2026-01-19,3,7,3,Unknown,0,500
Meghalaya,East Khasi Hills,Cherrapunji,2025-12-21,4,6,2,Contaminated,0,500
Meghalaya,East Khasi Hills,Cherrapunji,2025-12-22,4,3,1,Unknown,0,500
Meghalaya,East Khasi Hills,Cherrapunji,2025-12-23,2,3,0,Contaminated,0,500
Meghalaya,East Khasi Hills,Cherrapunji,2025-12-24,3,2,1,Contaminated,0,500
Meghalaya,East Khasi Hills,Cherrapunji,2025-12-25,3,6,1,Unknown,0,500
Meghalaya,East Khasi Hills,Cherrapunji,2025-12-26,2,3,4,Contaminated,0,500
Meghalaya,East Khasi Hills,Cherrapunji,2025-12-27,6,5,1,Unknown,0,500
Meghalaya,East Khasi Hills,Cherrapunji,2025-12-28,2,5,2,Contaminated,0,500
Meghalaya,East Khasi Hills,Cherrapunji,2025-12-29,6,4,3,Safe,0,500
Meghalaya,East Khasi Hills,Cherrapunji,2025-12-30,1,2,0,Contaminated,0,500
Meghalaya,East Khasi Hills,Cherrapunji,2025-12-31,7,4,0,Safe,0,500
Meghalaya,East Khasi Hills,Cherrapunji,2026-01-01,1,3,2,Safe,0,500
Meghalaya,East Khasi Hills,Cherrapunji,2026-01-02,6,0,3,Unknown,0,500
Meghalaya,East Khasi Hills,Cherrapunji,2026-01-03,5,10,1,Safe,0,500
Meghalaya,East Khasi Hills,Cherrapunji,2026-01-04,4,5,4,Contaminated,0,500
Meghalaya,East Khasi Hills,Cherrapunji,2026-01-05,4,2,1,Unknown,0,500
Meghalaya,East Khasi Hills,Cherrapunji,2026-01-06,1,3,4,Unknown,0,500
Meghalaya,East Khasi Hills,Cherrapunji,2026-01-07,1,2,3,Contaminated,0,500
Meghalaya,East Khasi Hills,Cherrapunji,2026-01-08,2,6,2,Contaminated,0,500
Meghalaya,East Khasi Hills,Cherrapunji,2026-01-09,1,9,1,Unknown,0,500
Meghalaya,East Khasi Hills,Cherrapunji,2026-01-10,4,7,1,Safe,0,500
Meghalaya,East Khasi Hills,Cherrapunji,2026-01-11,4,8,2,Contaminated,0,500
Meghalaya,East Khasi Hills,Cherrapunji,2026-01-12,6,3,2,Contaminated,0,500
Meghalaya,East Khasi Hills,Cherrapunji,2026-01-13,5,6,3,Safe,0,500
Meghalaya,East Khasi Hills,Cherrapunji,2026-01-14,2,10,5,Contaminated,0,500
Meghalaya,East Khasi Hills,Cherrapunji,2026-01-15,3,7,1,Contaminated,0,500
